Tournament_Year,Match_Stage,Team_A,Team_B,Shooter_Team,Shooter_Name,Goalkeeper_Name,Kick_Number,Team_Kick_Number,Score_Before_Kick,Is_Must_Score,Is_Winning_Kick,Shoot_Outcome,Match_Key,Shootout_Length,Is_Goal,Is_Must_Score_Bool,Sudden_Death_Flag
2022,Quarter-finals,Croatia,Brazil,Brazil,Rodrygo,Dominik Livaković,2,1,1-0,No,No,Saved,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,False,False,False
2022,Quarter-finals,Croatia,Brazil,Croatia,Lovro Majer,Alisson,3,2,1-0,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
2022,Quarter-finals,Croatia,Brazil,Brazil,Casemiro,Dominik Livaković,4,2,2-0,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
2022,Quarter-finals,Croatia,Brazil,Croatia,Luka Modrić,Alisson,5,3,1-2,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
2022,Quarter-finals,Croatia,Brazil,Brazil,Pedro,Dominik Livaković,6,3,1-3,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
2022,Quarter-finals,Croatia,Brazil,Croatia,Mislav Oršić,Alisson,7,4,2-3,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
2022,Quarter-finals,Croatia,Brazil,Brazil,Marquinhos,Dominik Livaković,8,4,2-4,Yes,Yes,Missed,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,False,True,False
2022,Quarter-finals,Netherlands,Argentina,Netherlands,Virgil van Dijk,Emiliano Martínez,1,1,0-0,No,No,Saved,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,False,False,False
2022,Quarter-finals,Netherlands,Argentina,Argentina,Lionel Messi,Andries Noppert,2,1,0-0,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Netherlands,Steven Berghuis,Emiliano Martínez,3,2,0-1,No,No,Saved,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,False,False,False
2022,Quarter-finals,Netherlands,Argentina,Argentina,Leandro Paredes,Andries Noppert,4,2,0-1,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Netherlands,Teun Koopmeiners,Emiliano Martínez,5,3,0-2,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Argentina,Gonzalo Montiel,Andries Noppert,6,3,2-1,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Netherlands,Wout Weghorst,Emiliano Martínez,7,4,3-1,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Argentina,Enzo Fernández,Andries Noppert,8,4,3-2,No,No,Missed,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,False,False,False
2022,Quarter-finals,Netherlands,Argentina,Netherlands,Luuk de Jong,Emiliano Martínez,9,5,3-2,No,No,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Quarter-finals,Netherlands,Argentina,Argentina,Lautaro Martínez,Andries Noppert,10,5,3-3,No,Yes,Goal,"(2022, 'Quarter-finals', 'Netherlands', 'Argentina')",10,True,False,False
2022,Final,Argentina,France,France,Kylian Mbappé,Emiliano Martínez,1,1,0-0,No,No,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2022,Final,Argentina,France,Argentina,Lionel Messi,Hugo Lloris,2,1,0-1,No,No,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2022,Final,Argentina,France,France,Kingsley Coman,Emiliano Martínez,3,2,1-1,No,No,Saved,"(2022, 'Final', 'Argentina', 'France')",8,False,False,False
2022,Final,Argentina,France,Argentina,Paulo Dybala,Hugo Lloris,4,2,1-1,No,No,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2022,Final,Argentina,France,France,Aurélien Tchouaméni,Emiliano Martínez,5,3,2-1,No,No,Missed,"(2022, 'Final', 'Argentina', 'France')",8,False,False,False
2022,Final,Argentina,France,Argentina,Leandro Paredes,Hugo Lloris,6,3,2-1,No,No,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2022,Final,Argentina,France,France,Randal Kolo Muani,Emiliano Martínez,7,4,3-1,No,No,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2022,Final,Argentina,France,Argentina,Gonzalo Montiel,Hugo Lloris,8,4,3-2,No,Yes,Goal,"(2022, 'Final', 'Argentina', 'France')",8,True,False,False
2026,Round of 32,Germany,Paraguay,Germany,Florian Wirtz,Roberto Fernández,1,1,0-0,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Paraguay,Julio Enciso,Marc-André ter Stegen,2,1,1-0,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Germany,Kai Havertz,Roberto Fernández,3,2,1-1,No,No,Missed,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,False,False,False
2026,Round of 32,Germany,Paraguay,Paraguay,Miguel Almirón,Marc-André ter Stegen,4,2,1-1,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Germany,Jamal Musiala,Roberto Fernández,5,3,1-2,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Paraguay,Mathias Villasanti,Marc-André ter Stegen,6,3,2-2,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Germany,Niclas Füllkrug,Roberto Fernández,7,4,2-3,No,No,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Germany,Paraguay,Paraguay,Ramón Sosa,Marc-André ter Stegen,8,4,3-3,No,No,Missed,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,False,False,False
2026,Round of 32,Germany,Paraguay,Germany,Joshua Kimmich,Roberto Fernández,9,5,3-3,No,No,Missed,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,False,False,False
2026,Round of 32,Germany,Paraguay,Paraguay,Gustavo Gómez,Marc-André ter Stegen,10,5,3-3,No,Yes,Goal,"(2026, 'Round of 32', 'Germany', 'Paraguay')",10,True,False,False
2026,Round of 32,Netherlands,Morocco,Netherlands,Cody Gakpo,Yassine Bounou,1,1,0-0,No,No,Goal,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,True,False,False
2026,Round of 32,Netherlands,Morocco,Morocco,Achraf Hakimi,Bart Verbruggen,2,1,1-0,No,No,Goal,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,True,False,False
2026,Round of 32,Netherlands,Morocco,Netherlands,Xavi Simons,Yassine Bounou,3,2,1-1,No,No,Missed,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,False,False,False
2026,Round of 32,Netherlands,Morocco,Morocco,Hakim Ziyech,Bart Verbruggen,4,2,1-1,No,No,Goal,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,True,False,False
2026,Round of 32,Netherlands,Morocco,Netherlands,Tijjani Reijnders,Yassine Bounou,5,3,1-2,No,No,Goal,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,True,False,False
2026,Round of 32,Netherlands,Morocco,Morocco,Sofyan Amrabat,Bart Verbruggen,6,3,2-2,No,No,Missed,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,False,False,False
2026,Round of 32,Netherlands,Morocco,Netherlands,Donyell Malen,Yassine Bounou,7,4,2-2,No,No,Missed,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,False,False,False
2026,Round of 32,Netherlands,Morocco,Morocco,Youssef En-Nesyri,Bart Verbruggen,8,4,2-2,No,No,Goal,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,True,False,False
2026,Round of 32,Netherlands,Morocco,Netherlands,Jeremie Frimpong,Yassine Bounou,9,5,2-3,Yes,No,Missed,"(2026, 'Round of 32', 'Netherlands', 'Morocco')",9,False,True,False
2026,Round of 32,Australia,Egypt,Australia,Harry Souttar,Mohamed El Shenawy,1,1,0-0,No,No,Missed,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,False,False,False
2026,Round of 32,Australia,Egypt,Egypt,Mostafa Mohamed,Mathew Ryan,2,1,0-0,No,No,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 32,Australia,Egypt,Australia,Jackson Irvine,Mohamed El Shenawy,3,2,0-1,No,No,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 32,Australia,Egypt,Egypt,Omar Marmoush,Mathew Ryan,4,2,1-1,No,No,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 32,Australia,Egypt,Australia,Craig Goodwin,Mohamed El Shenawy,5,3,1-2,No,No,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 32,Australia,Egypt,Egypt,Trezeguet,Mathew Ryan,6,3,2-2,No,No,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 32,Australia,Egypt,Australia,Riley McGree,Mohamed El Shenawy,7,4,2-3,No,No,Missed,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,False,False,False
2026,Round of 32,Australia,Egypt,Egypt,Mohamed Salah,Mathew Ryan,8,4,2-3,No,Yes,Goal,"(2026, 'Round of 32', 'Australia', 'Egypt')",8,True,False,False
2026,Round of 16,Switzerland,Colombia,Switzerland,Manuel Akanji,Camilo Vargas,1,1,0-0,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Colombia,Luis Díaz,Yann Sommer,2,1,1-0,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Switzerland,Granit Xhaka,Camilo Vargas,3,2,1-1,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Colombia,James Rodríguez,Yann Sommer,4,2,2-1,No,No,Missed,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,False,False,False
2026,Round of 16,Switzerland,Colombia,Switzerland,Remo Freuler,Camilo Vargas,5,3,2-1,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Colombia,Jhon Durán,Yann Sommer,6,3,3-1,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Switzerland,Breel Embolo,Camilo Vargas,7,4,3-2,No,No,Missed,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,False,False,False
2026,Round of 16,Switzerland,Colombia,Colombia,Daniel Muñoz,Yann Sommer,8,4,3-2,No,No,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
2026,Round of 16,Switzerland,Colombia,Switzerland,Zeki Amdouni,Camilo Vargas,9,5,3-3,No,Yes,Goal,"(2026, 'Round of 16', 'Switzerland', 'Colombia')",9,True,False,False
